ablation,n_cases,n_flipped,n_still_correct,pct_flipped
full,78,1,77,1.3
no_europepmc,78,4,74,5.1
no_fda_safety,78,2,76,2.6
no_adverse_rx,78,4,74,5.1
no_novel,78,8,70,10.3
