perturbation,task,kg_group,n_rows,mra_rcer,base_rcer,mra_flip,base_flip
gender_swap,manage,KG-found,462,1.9283746556473829,1.6528925619834711,1.0822510822510822,3.896103896103896
gender_swap,manage,KG-not-found,213,2.3255813953488373,1.550387596899225,5.164319248826291,6.103286384976526
gender_swap,resource,KG-found,462,2.7548209366391183,1.6528925619834711,2.380952380952381,4.112554112554113
gender_swap,resource,KG-not-found,213,2.5,1.6666666666666667,5.633802816901408,6.103286384976526
gender_swap,visit,KG-found,462,3.466666666666667,2.933333333333333,1.0822510822510822,4.112554112554113
gender_swap,visit,KG-not-found,213,4.444444444444445,4.444444444444445,7.511737089201878,8.450704225352112
summary,manage,KG-found,291,5.714285714285714,6.666666666666667,14.776632302405499,20.962199312714777
summary,manage,KG-not-found,207,5.691056910569106,4.065040650406504,25.603864734299517,26.570048309178745
summary,resource,KG-found,291,2.525252525252525,2.525252525252525,12.027491408934708,17.52577319587629
summary,resource,KG-not-found,207,2.6315789473684212,2.6315789473684212,22.705314009661837,23.18840579710145
summary,visit,KG-found,291,5.714285714285714,7.619047619047619,12.371134020618557,20.274914089347078
summary,visit,KG-not-found,207,4.651162790697675,4.651162790697675,24.63768115942029,25.120772946859905
uncertain_tone,manage,KG-found,462,2.7548209366391183,3.0303030303030303,7.142857142857143,8.733624454148472
uncertain_tone,manage,KG-not-found,213,0.7751937984496124,1.550387596899225,14.084507042253522,16.431924882629108
uncertain_tone,resource,KG-found,462,2.479338842975207,2.479338842975207,7.792207792207792,9.606986899563319
uncertain_tone,resource,KG-not-found,213,0.0,0.8333333333333334,12.67605633802817,13.615023474178404
uncertain_tone,visit,KG-found,462,4.0,4.266666666666667,7.359307359307359,9.388646288209607
uncertain_tone,visit,KG-not-found,213,2.962962962962963,3.7037037037037037,14.553990610328638,16.431924882629108
